"Date","type","Holding_Period_Return"
2015-06-05,"Composite",0.0341434416968243
2015-06-05,"Fund",0.0465906461789956
2015-06-05,"Benchmark",-0.0066873881510785
2015-06-08,"Composite",0.0354196064682155
2015-06-08,"Fund",0.0484496530913914
2015-06-08,"Benchmark",-0.00678157671658663
2015-06-09,"Composite",0.0334185572712347
2015-06-09,"Fund",0.0465906461789956
2015-06-09,"Benchmark",-0.00678157671658663
2015-06-10,"Composite",0.0311374558265465
2015-06-10,"Fund",0.0447316392665995
2015-06-10,"Benchmark",-0.00715833097861929
2015-06-11,"Composite",0.0353371606332282
2015-06-11,"Fund",0.0493790526111637
2015-06-11,"Benchmark",-0.00725251954412731
2015-06-12,"Composite",0.0348388625098368
2015-06-12,"Fund",0.0475201496351934
2015-06-12,"Benchmark",-0.00734670810963556
2015-06-15,"Composite",0.0352242900308202
2015-06-15,"Fund",0.0475201496351934
2015-06-15,"Benchmark",-0.00734670810963556
2015-06-16,"Composite",0.0366537531027669
2015-06-16,"Fund",0.0493790526111637
2015-06-16,"Benchmark",-0.00744089667514369
2015-06-17,"Composite",0.0374203305092471
2015-06-17,"Fund",0.050308244258084
2015-06-17,"Benchmark",-0.00762927380616008
2015-06-18,"Composite",0.0363207546262962
2015-06-18,"Fund",0.0512380595235595
2015-06-18,"Benchmark",-0.00772346237166799
2015-06-19,"Composite",0.0397004933292961
2015-06-19,"Fund",0.0521677708526092
2015-06-19,"Benchmark",-0.00781765093717635
2015-06-22,"Composite",0.0361421293900606
2015-06-22,"Fund",0.0484496530913914
2015-06-22,"Benchmark",-0.00791183950268448
2015-06-23,"Composite",0.0341049745458841
2015-06-23,"Fund",0.0475201496351934
2015-06-23,"Benchmark",-0.00800602806819239
2015-06-24,"Composite",0.0358977964583898
2015-06-24,"Fund",0.0484496530913914
2015-06-24,"Benchmark",-0.00828859376471702
2015-06-25,"Composite",0.0350213782848625
2015-06-25,"Fund",0.0475201496351934
2015-06-25,"Benchmark",-0.00828859376471702
2015-06-26,"Composite",0.0311918751716238
2015-06-26,"Fund",0.0438023436832533
2015-06-26,"Benchmark",-0.00838278233022516
2015-06-29,"Composite",0.0361400159379115
2015-06-29,"Fund",0.0484496530913914
2015-06-29,"Benchmark",-0.00828859376471702
2015-06-30,"Composite",0.0362032282997875
2015-06-30,"Fund",0.050218443186167
2015-06-30,"Benchmark",-0.00885372515776583
2015-07-01,"Composite",0.0327968151562692
2015-07-01,"Fund",0.0464946089215286
2015-07-01,"Benchmark",-0.00395591975134224
2015-07-02,"Composite",0.034474524541334
2015-07-02,"Fund",0.0483562142445702
2015-07-02,"Benchmark",-0.00395591975134224
2015-07-06,"Composite",0.0388629973582451
2015-07-06,"Fund",0.0511496096251782
2015-07-06,"Benchmark",-0.00376754262032597
2015-07-07,"Composite",0.0399727614519145
2015-07-07,"Fund",0.0520806721277636
2015-07-07,"Benchmark",-0.0113968164264857
2015-07-08,"Composite",0.0412069992258088
2015-07-08,"Fund",0.0530119425032007
2015-07-08,"Benchmark",-0.0116793821230103
2015-07-09,"Composite",0.0374309785404456
2015-07-09,"Fund",0.0511496096251782
2015-07-09,"Benchmark",-0.0116793821230103
2015-07-10,"Composite",0.0332994297921081
2015-07-10,"Fund",0.0483562142445702
2015-07-10,"Benchmark",-0.00405010831685026
2015-07-13,"Composite",0.0334747672507567
2015-07-13,"Fund",0.0474252556784107
2015-07-13,"Benchmark",-0.0041442968823584
2015-07-14,"Composite",0.0350551755822732
2015-07-14,"Fund",0.0492879003657107
2015-07-14,"Benchmark",-0.00423848544786676
2015-07-15,"Composite",0.0372332901749137
2015-07-15,"Fund",0.050218443186167
2015-07-15,"Benchmark",-0.00423848544786676
2015-07-16,"Composite",0.0372719231341572
2015-07-16,"Fund",0.0511496096251782
2015-07-16,"Benchmark",-0.00433267401337467
2015-07-17,"Composite",0.0377266151270133
2015-07-17,"Fund",0.0511496096251782
2015-07-17,"Benchmark",-0.00433267401337467
2015-07-20,"Composite",0.0365067334647353
2015-07-20,"Fund",0.050218443186167
2015-07-20,"Benchmark",-0.00442686257888303
2015-07-21,"Composite",0.0378227017477337
