"","Date","FSMEX","VHT","DJSMDQ","FBT","IHI","NASDAQ","Russell2000","RYH","SP500","SPSIHE","XHE","XLV"
"81",2014-04-29,9791.07903958662,10000,10307.7310998071,10639.032067975,4756.51869275812,9904.58817572658,9740.24944597055,10509.4319554516,10253.0048172251,9751.45734530262,9789.23595468621,10533.2847717525
"82",2014-04-30,9805.19535884785,10000,10313.4944997118,10732.5844531124,4755.51774185476,9931.18685851045,9792.65167372332,10529.4812577377,10283.6819810662,9763.87830284553,9708.37699606636,10542.3540623553
"83",2014-05-01,9836.25126122255,10000,10366.6884882351,10805.9871557576,4779.04008808368,9962.29938267147,9784.91726376755,10560.4660377162,10282.208728067,9822.52498306233,9814.42179707259,10565.9348709245
"84",2014-05-02,9858.83680738774,10000,10386.4766832886,10646.2288149297,4791.05149892398,9953.73014983008,9809.51124033286,10524.9243454409,10268.343734848,9843.8029302168,9875.39740521216,10475.2401510024
"85",2014-05-05,9906.83285752868,10000,10444.1263437492,10921.1274789381,4817.07622241129,9987.90808455368,9787.78571142049,10611.5008490431,10287.5580223317,9882.98893405601,9916.48939776009,10544.1683195326
"86",2014-05-06,9833.42856202307,10000,10407.079271807,10771.4439793562,4799.55958160252,9849.60472150614,9628.84140297935,10537.6828432238,10195.0894190449,9775.15243902439,9871.42100022744,10451.6593424332
"87",2014-05-07,9816.48841425683,10000,10433.8759490816,10659.1817504671,4811.07051699114,9818.00957936257,9633.53445614268,10568.6683522646,10252.3498155258,9745.49387420957,9748.14396213828,10480.6816528082
"88",2014-05-08,9810.84188655234,10000,10436.3347908888,10463.4418337604,4815.07432060457,9778.98073677264,9536.89934699152,10519.4565610283,10238.2669323712,9740.09499209575,9774.65483100067,10424.4512892354
"89",2014-05-09,9884.24618205794,10000,10519.6535069036,10689.406130279,4852.60997948051,9828.14746064005,9621.97579692479,10593.2739289181,10253.8237344712,9882.56549232159,9822.37487215337,10487.9374117914
"90",2014-05-12,10062.1120870758,10000,10659.267171173,10964.3058017715,4918.17226365047,10001.9068927958,9851.65854916756,10757.3132026616,10353.0062812149,10090.1401592141,10104.7192443075,10594.9571812995
"91",2014-05-13,10042.3495224364,10000,10624.3892049014,10850.6038780683,4898.65372103498,9968.86390394564,9743.11789362349,10760.0470948679,10357.3727426868,10007.4984473803,10055.6731162335,10611.2822308855
"92",2014-05-14,10005.6468100309,10000,10588.7829829353,10909.6142382147,4883.63945748461,9897.5640218416,9586.52011610912,10742.7315936554,10308.6826800367,9910.38914295393,9940.34941833644,10618.5379898687
"93",2014-05-15,9915.30236675903,10000,10473.3348785927,10715.3128649116,4828.08668234823,9821.92000585506,9524.38488616445,10648.8649234795,10212.1747858838,9838.58048215899,9807.79374846782,10511.5182203606
"94",2014-05-16,9980.23715303428,10000,10552.87136342,10677.8927456293,4869.12566938592,9873.33127794276,9584.5215325632,10702.6336270127,10250.4394453044,9898.99150293586,9883.35048029293,10547.7962897189
"95",2014-05-19,10036.7027124056,10000,10604.8359310397,10899.5393969687,4894.64991742155,9958.3406369354,9684.63294359562,10767.3378993711,10289.8501980355,9977.36351061427,9982.7672326944,10613.0957625051
"96",2014-05-20,9915.30236675903,10000,10479.5759515874,10699.4808275987,4833.5919123167,9888.53751213052,9540.9834857207,10694.4313124643,10222.9826550834,9843.75,9863.46792514666,10545.9818511522
"97",2014-05-21,9988.70779157018,10000,10520.9534041647,10758.4911877451,4853.61093038386,9972.17091313979,9590.77823287382,10767.3378993711,10305.9533925693,9871.37957317073,9883.35048029293,10634.8630394547
"98",2014-05-22,10005.6468100309,10000,10516.1688425589,10926.884675005,4851.10855312547,10027.2021000822,9679.76591239677,10814.7265793841,10330.2984238943,9922.75717028004,9965.53526072282,10698.3491620107
"99",2014-05-23,10033.8800132061,10000,10531.1568145939,10876.5107566273,4857.6147339973,10103.1607885351,9786.8288496055,10842.9781962186,10374.1855792551,9966.44224254742,9966.86108253285,10703.7904824272
"100",2014-05-27,10104.4616095122,10000,10577.4362893728,11101.0353583318,4877.63375206446,10226.8849041729,9925.95922366242,10894.9238796612,10436.3041893067,10082.3064871274,10094.1145256067,10761.8358287351
"101",2014-05-28,10124.2244564779,10000,10615.6423058611,11057.8581869088,4898.1532455833,10197.9456236169,9877.9901509157,10891.2784774097,10424.6773974026,10057.5527890696,10075.5567318251,10730.9992611827
"102",2014-05-29,10175.0432058184,10000,10657.7949983712,11109.6716561742,4917.67178819879,10253.1465204676,9907.44902957802,10967.829646373,10480.6277904849,10107.4306967028,10131.2298480586,10816.2524792989
"103",2014-05-30,10155.2803588526,10000,10674.9442453705,11044.9042438873,4923.17701816726,10240.281475401,9859.04502043269,10986.0566576308,10499.9506926926,10059.564137308,10088.8120337006,10845.274789674
"104",2014-06-02,10132.6936833819,10000,10654.1772120179,11008.9226680085,4914.66893548871,10227.1995766393,9810.38004423406,11004.2829398264,10507.5928340658,10008.7864159892,10030.4872738471,10859.7855820826
"105",2014-06-03,10149.6338311482,10000,10678.9770591626,11101.0353583318,4925.67939542565,10219.6686463569,9786.48196243046,11037.0908310282,10503.6081780763,9990.43727416441,10009.2788968908,10879.7386018549
"106",2014-06-04,10220.2154274543,10000,10744.8176385095,11259.3551557561,4957.70982433312,10262.0528197982,9830.54087448353,11061.6963165489,10523.4774727178,10043.8438629178,10041.0919925479,10910.5751694073
"107",2014-06-05,10276.6809868256,10000,10788.8418698474,11378.813268042,4979.730744207,10369.6779501827,10027.9822205328,11094.5042077507,10592.1461052211,10156.9028060072,10163.0429437157,10923.272248807
"108",2014-06-06,10330.3224353655,10000,10819.3972861904,11360.1031364377,4994.24453230569,10430.4298155126,10125.921078674,11099.0611200475,10641.1639989647,10205.0516598916,10249.2043942417,10912.3887010269
"109",2014-06-09,10333.1451345649,10000,10819.2250106498,11453.655521575,4991.74215504729,10466.2494676797,10218.6460184413,11081.745618835,10651.1536223229,10253.3416610208,10277.0408198027,10856.1576118963
"110",2014-06-10,10338.7919445958,10000,10795.0594507229,11483.8799013869,4982.73359691707,10470.4969606614,10191.0976654111,11068.0756110068,10648.5336100671,10205.7926829268,10234.6232705561,10892.4356812546
"111",2014-06-11,10330.3224353655,10000,10745.6868469191,11473.8050601408,4958.71077523647,10455.8464134637,10138.9563960214,11060.7855355659,10610.8693120107,10155.1208220416,10192.2054561982,10879.7386018549
"112",2014-06-12,10273.8568759942,10000,10707.6296138522,11504.0294399527,4939.69270807267,10373.0568529274,10075.431496965,10988.7905498371,10535.649985651,10120.5750338753,10133.8804312333,10825.3217699017
"113",2014-06-13,10248.447501324,10000,10684.8657503696,11558.7211474358,4932.68605174916,10404.4828716843,10103.9356516043,10968.741247551,10568.6746314771,10076.4488764679,10128.5792648839,10816.2524792989
"114",2014-06-16,10547.7140343147,10000,10866.2014182975,11614.8522618803,5016.76592763125,10429.7061878337,10139.9121889404,11010.6622342843,10577.5174955787,10207.5217366757,10208.1124016937,10838.0190306907
"115",2014-06-17,10584.4167467203,10000,10905.3314581402,11560.1606983235,5034.28256844002,10468.6383871092,10225.0766880972,11015.2191465811,10600.4978831701,10263.2043247516,10296.9244353944,10832.5775288849
"116",2014-06-18,10711.4627730922,10000,11057.1140401433,11646.5161925799,5102.34722986837,10530.4521268913,10281.6500522871,11101.7950122538,10682.321866858,10331.8724593496,10372.4811672195,10919.6444600101
"117",2014-06-19,10753.8120132023,10000,11112.4927957501,11640.758996513,5127.37100245233,10521.9807128213,10289.4714512607,11122.7558245852,10695.9683041951,10363.7717366757,10371.1553454095,10955.9225293684
"118",2014-06-20,10784.8681979033,10000,11118.2796877741,11732.8718307626,5130.3738551624,10543.0036773621,10327.7085994017,11174.7015080278,10714.4729551029,10433.886630533,10420.2012083722,11006.7112097459
"119",2014-06-23,10770.7521609685,10000,11103.4718219861,11633.5634009688,5123.3671988389,10544.5487563185,10297.4657680639,11175.6122890109,10713.0536710341,10397.5941452123,10426.8295220883,10964.9918199711
"120",2014-06-24,10708.6397915663,10000,11059.7373267848,11748.7037241492,5094.84009809319,10500.3060117386,10195.7037295566,11215.7109847158,10644.1118423139,10333.8661641825,10412.2483984027,10972.2475789543
"121",2014-06-25,10773.574860168,10000,11139.3286265567,11757.3400219917,5132.37575696912,10571.2912213762,10277.7398829033,11295.9075559307,10696.241500412,10407.4568089431,10387.062290905,11091.9646092515
"122",2014-06-26,10779.2213878725,10000,11139.2659809056,11757.3400219917,5132.8762324208,10569.5776103821,10260.6193579307,11292.2628827414,10683.6318757151,10427.2174232159,10410.9223114814,11106.4754016602
"123",2014-06-27,10798.9842348382,10000,11128.3264840755,11801.9568882287,5129.37290425904,10615.1485802234,10337.0066565048,11284.9720782383,10704.0468913858,10466.2975666215,10482.5026383218,11077.4530912851
"124",2014-06-30,10765.1053509376,10000,11083.0180168893,11849.4528562412,5105.85055803013,10639.888689455,10367.0744496013,11252.1641870364,10700.0622353963,10428.981763776,10445.3873158699,11033.9199885014
"125",2014-07-01,10909.0912427494,10000,11197.1270704388,12114.2766790036,5162.90475952155,10761.705912297,10479.9602109278,11396.1541584939,10771.5147957021,10598.5348915989,10619.0347131751,11173.5891316236
"126",2014-07-02,10906.2685435499,10000,11211.4885859624,12141.6231084504,5168.91046494169,10759.4855249053,10423.9087721543,11457.212937468,10778.6112105876,10559.1724537037,10584.5699738979,11258.8425311293
"127",2014-07-03,10937.324728251,10000,11272.3018518054,12180.4826346942,5197.4375656874,10827.5514692364,10499.0793107561,11496.4001231277,10837.6726966198,10604.7806571816,10640.2430901314,11304.1898910903
"128",2014-07-07,10801.8069340377,10000,11175.9215175283,11919.976457111,5151.89429958461,10744.5203052412,10313.0215856834,11409.8235283927,10795.1508509389,10435.474537037,10481.1768165117,11218.9364915847
"129",2014-07-08,10694.5237546315,10000,11080.6296514396,11686.8154136378,5107.35198438517,10599.5316216037,10186.231694418,11305.0213805243,10719.0579724567,10274.2667400632,10302.2269273005,11113.7309792539
"130",2014-07-09,10739.6959762674,10000,11097.84154409,11866.7232930315,5115.35959161203,10666.076056458,10200.6577497733,11338.7400527092,10768.8401485697,10309.3241869919,10336.6916665776,11160.892052224
"131",2014-07-10,10728.4026385321,10000,11082.6186508633,11800.5173373409,5109.41394324608,10610.9729783787,10096.8090784965,11333.2723594294,10724.3532977909,10302.1433209124,10340.6680715624,11153.6370187985
"132",2014-07-11,10801.8069340377,10000,11136.838461924,11930.0511544307,5136.37956058255,10657.5327512511,10080.0375698007,11359.7009561733,10740.1279898266,10362.077969738,10383.0858859203,11177.21710181
"133",2014-07-14,10796.1615356387,10000,11139.0623825394,11980.4252167347,5134.87813422752,10717.704771176,10143.3015018039,11401.6219429065,10792.1483727131,10378.5745539747,10379.1094809356,11213.4951711682
"134",2014-07-15,10708.6397915663,10000,11052.3608013632,11741.508128605,5098.84390170662,10659.7048193992,10026.8535184743,11339.6515627544,10771.2969057664,10253.7121725384,10278.3666416128,11117.3589494402
"135",2014-07-16,10654.9983430264,10000,10994.9617235072,11611.9741675889,5070.81727641259,10682.8279585374,10007.2135534354,11322.3361526747,10816.5480389147,10194.165678636,10235.9490923661,11081.080880082
"136",2014-07-17,10491.2484749434,10000,10880.320181923,11321.2436101939,5017.26640308293,10531.9253122971,9851.22362145916,11203.8639058453,10688.5447241623,10040.7915537489,10108.6956492923,10959.5495926075
"137",2014-07-18,10660.6437414254,10000,11033.1129250507,11619.1709145436,5087.332966318,10697.7436786738,10007.7344099558,11357.87784495,10798.2619493473,10214.1909439928,10108.6956492923,11139.1255008321
