"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"111",2015-07-09,16.98,21.01,37.490002,30.530001,2051.310059,4922.399902,1816.186,263.269,51.09,"4757.220215",26.52,"24392.789063","27573.660156","19855.500000"
"112",2015-07-10,17.299999,21.27,38.439999,30.98,2076.620117,4997.700195,1851.945,267.99,51.259998,"4903.069824",26.860001,"24901.279297","27661.400391","19779.830078"
"113",2015-07-13,17.48,21.540001,38.700001,31.309999,2099.600098,5071.509766,1862.955,269.855,51.09,"4998.100098",27.18,"25224.009766","27961.189453","20089.769531"
"114",2015-07-14,17.57,21.52,38.77,31.52,2108.949951,5104.890137,1877.934,271.405,52.060001,"5032.470215",27.33,"25120.910156","27932.900391","20385.330078"
"115",2015-07-15,17.549999,21.469999,38.330002,31.440001,2107.399902,5098.939941,1878.508,271.168,52.549999,"5047.240234",27.33,"25055.759766","28198.289063","20463.330078"
"116",2015-07-16,17.639999,21.6,38.810001,31.76,2124.290039,5163.180176,1893.989,273.055,52.880001,"5121.500000",27.559999,"25162.779297","28446.119141","20600.119141"
"117",2015-07-17,17.66,21.620001,38.759998,31.809999,2126.639893,5210.140137,1889.529,272.435,52.939999,"5124.390137",27.59,"25415.269531","28463.310547","20650.919922"
"118",2015-07-21,17.66,21.530001,38.52,31.57,2119.209961,5208.120117,1894.419,272.585,53.27,"5106.569824",27.440001,"25536.429688","28182.140625","20841.970703"
"119",2015-07-22,17.6,21.33,37.970001,31.48,2114.149902,5171.77002,1872.35,269.56,52.419998,"5082.569824",27.35,"25282.619141","28504.929688","20593.669922"
"120",2015-07-23,17.559999,21.129999,37.599998,31.16,2102.149902,5146.410156,1877.135,269.618,52.16,"5086.740234",27.15,"25398.849609","28370.839844","20683.949219"
"121",2015-07-24,17.41,20.75,37.060001,30.82,2079.649902,5088.629883,1861.034,266.925,51.91,"5057.359863",26.83,"25128.509766","28112.310547","20544.529297"
"122",2015-07-27,17.23,20.450001,36.360001,30.780001,2067.639893,5039.779785,1846.846,264.225,52.130001,"4927.600098",26.68,"24351.960938","27561.380859","20350.099609"
"123",2015-07-28,17.370001,20.440001,36.73,31.18,2093.25,5089.209961,1848.584,264.462,52.09,"4977.319824",26.969999,"24503.939453","27459.230469","20328.890625"
"124",2015-07-29,17.48,20.620001,37.09,31.440001,2108.570068,5111.72998,1861.947,266.777,52.52,"5017.439941",27.200001,"24619.449219","27563.429688","20302.910156"
"125",2015-07-30,17.43,20.559999,36.720001,31.35,2108.629883,5128.779785,1858.974,266.035,52.919998,"5046.419922",27.209999,"24497.980469","27705.349609","20522.830078"
"126",2015-07-31,17.549999,20.67,37.119999,31.33,2103.840088,5128.279785,1879.75,268.791,53.16,"5082.609863",27.129999,"24636.279297","28114.560547","20585.240234"
"127",2015-08-03,17.57,20.440001,36.5,31.110001,2098.040039,5115.379883,1877.371,267.74,52.93,"5120.520020",27.040001,"24411.419922","28187.060547","20548.109375"
"128",2015-08-04,17.57,20.540001,36.630001,30.969999,2093.320068,5105.549805,1876.742,267.844,53.150002,"5112.140137",27,"24406.119141","28071.929688","20520.359375"
"129",2015-08-05,17.65,20.59,36.639999,30.76,2099.840088,5139.939941,1878.501,267.941,52.91,"5196.729980",27.030001,"24514.160156","28223.080078","20614.060547"
"130",2015-08-06,17.5,20.41,36.32,30.51,2083.560059,5056.439941,1875.275,267.033,52.240002,"5192.109863",26.860001,"24375.279297","28298.130859","20664.439453"
"131",2015-08-07,17.43,20.379999,36.299999,30.540001,2077.570068,5043.540039,1868.644,266.333,51.099998,"5154.750000",26.76,"24552.470703","28236.390625","20724.560547"
"132",2015-08-10,17.629999,20.59,36.91,30.950001,2104.179932,5101.799805,1883.892,268.285,51.389999,"5195.410156",27.129999,"24521.119141","28101.720703","20808.689453"
"133",2015-08-11,17.4,20.209999,36.099998,30.809999,2084.070068,5036.790039,1865.513,265.653,51.119999,"5099.029785",26.82,"24498.210938","27866.089844","20720.750000"
"134",2015-08-12,17.25,19.950001,35.540001,31.01,2086.050049,5044.390137,1842.675,262.327,50.18,"4925.430176",26.780001,"23916.019531","27512.259766","20392.769531"
"135",2015-08-13,17.309999,19.940001,35.48,30.93,2083.389893,5033.560059,1845.578,262.58,50.299999,"4986.850098",26.75,"24018.800781","27549.529297","20595.550781"
"136",2015-08-14,17.360001,19.99,35.529999,31.01,2091.540039,5048.240234,1840.941,262.113,49.950001,"4956.470215",26.83,"23991.029297","28067.310547","20519.449219"
"137",2015-08-17,17.370001,19.809999,35.139999,31.360001,2102.439941,5091.700195,1840.934,261.458,50.16,"4984.830078",26.92,"23814.650391","27878.269531","20620.259766"
"138",2015-08-18,17.34,19.690001,34.759998,31.15,2096.919922,5059.350098,1835.21,260.431,49.720001,"4971.250000",26.84,"23474.970703","27831.539063","20554.470703"
"139",2015-08-19,17.209999,19.51,34.330002,30.879999,2079.610107,5019.049805,1811.33,257.194,50.419998,"4884.100098",26.59,"23167.849609","27931.640625","20222.630859"
"140",2015-08-20,16.84,19.18,33.790001,30.09,2035.72998,4877.490234,1795.198,254.552,49.52,"4783.549805",26.01,"22757.470703","27607.820313","20033.519531"
"141",2015-08-21,16.42,18.73,32.75,29.33,1970.890015,4706.040039,1756.648,249.052,48.869999,"4630.990234",25.23,"22409.619141","27366.070313","19435.830078"
