Date,FSPTX,Benchmark,composite
2015-11-20,10073.728188744162,12595.120722348522,12842.126299918882
2015-11-23,10049.9713279266,12535.046984947483,12821.710980970414
2015-11-24,10054.067338412386,12543.936613184598,12816.148854933008
2015-11-25,10083.55861391005,12516.539593649824,12831.522378568909
2015-11-27,10090.931432784468,12538.654607019907,12859.594944702832
2015-11-30,10117.965101990661,12543.8869651832,12831.586010082367
2015-12-01,10252.314245924468,12673.384080168176,12968.808625909973
2015-12-02,10212.992545260915,12596.834963634676,12901.754369915294
2015-12-03,10089.293028590153,12425.956737093087,12704.099750163077
2015-12-07,9890.226918980912,12615.724078074956,12597.625043739947
2015-12-08,9862.374047677562,12587.57734090371,12603.140390766599
2015-12-09,9732.940116326698,12399.43982508079,12398.56485793668
2015-12-10,9773.900221184564,12429.7268327746,12436.74073998204
2015-12-11,9546.162038174818,12172.41258164406,12161.247575815172
2015-12-14,9575.653313672483,12229.534670316983,12221.245111084738
2015-12-15,9657.573523388219,12292.665781028594,12298.336119253188
2015-12-16,9805.029900876545,12452.845807382208,12463.827919996435
2015-12-17,9693.618415663144,12260.846280637566,12290.344165975248
2015-12-18,9569.099696895222,12023.167332589426,12079.399166467641
2015-12-21,9641.189481445072,12139.032216732283,12180.369209420785
2015-12-22,9697.714426148928,12221.612841884367,12253.435264263682
2015-12-23,9773.081019087409,12327.49034384433,12347.286084185302
2015-12-24,9768.165806504465,12318.705875335394,12350.454795089103
2015-12-28,9742.770541492586,12318.735436042696,12358.563885139383
2015-12-29,9850.905218317359,12473.224329587085,12527.774936477646
2015-12-30,9763.250593921519,12375.535998900512,12426.865082008206
2015-12-31,9673.957565331366,12203.802061161765,12259.439804613758
2016-01-04,9446.219382321618,12003.518112573487,11991.40438276013
2016-01-05,9430.654542475628,11949.618318522103,11943.09589434237
2016-01-06,9301.220611124763,11787.726100496435,11811.155451009252
2016-01-07,8999.754239370852,11419.458383943764,11437.159788023271
2016-01-08,8927.664454821004,11313.910283481433,11320.811582262008
2016-01-11,8889.981158351764,11368.912812955383,11353.749436638744
2016-01-12,8989.104612107807,11499.815414497689,11473.961798487439
2016-01-13,8725.321536823134,11175.704153760147,11081.385640090033
